order_id,customer_id,order_date,region,product_id,quantity,price_usd,discount_pct,returned,product,category,brand,color_or_size,cost_usd,profit_usd,supplier,warehouse,defective,support_ticket_id,support_issue_type,support_issue_text,response_time_min,resolved,support_cost_usd,delivery_days,shipping_speed,return_reason
163,1038,2024-01-21,East,P500,3,100,20,0,Coffee Mug,Home,Brand H,Black,52.48,187.52,Supplier B,A,0,,,,0,1,0.0,2,Standard,
164,1059,2024-02-01,North,P500,2,79,0,0,Coffee Mug,Home,Brand H,Black,37.32,120.68,Supplier Z,C,0,,,,0,1,0.0,4,Standard,
165,1028,2024-01-18,West,P300,1,66,0,0,Running Shoes,Apparel,Brand R,Size 42,36.07,29.93,Supplier A,A,0,,,,0,1,0.0,1,Standard,
166,1096,2024-01-02,North,P200,1,35,20,0,Wireless Earbuds,Electronics,Brand Y,White,24.03,3.97,Supplier B,A,0,,,,0,1,0.0,4,Standard,
167,1059,2024-01-08,South,P200,1,72,0,0,Wireless Earbuds,Electronics,Brand Y,White,46.62,25.38,Supplier B,A,0,,,,0,1,0.0,1,Standard,
168,1023,2024-02-12,East,P500,1,83,10,0,Coffee Mug,Home,Brand H,Black,44.24,30.46,Supplier A,A,0,,,,0,1,0.0,1,Standard,
169,1057,2024-01-15,West,P300,1,31,20,0,Running Shoes,Apparel,Brand R,Size 42,16.0,8.8,Supplier B,C,0,,,,0,1,0.0,3,Standard,
170,1078,2024-01-08,East,P500,2,19,10,0,Coffee Mug,Home,Brand H,Black,7.72,26.48,Supplier A,C,0,,,,0,1,0.0,1,Express,
171,1001,2024-01-21,South,P200,2,63,0,0,Wireless Earbuds,Electronics,Brand Y,White,26.51,99.49,Supplier Z,A,0,,,,0,1,0.0,4,Standard,
172,1077,2024-01-09,East,P500,2,109,5,0,Coffee Mug,Home,Brand H,Black,47.79,159.31,Supplier A,C,0,,,,0,1,0.0,1,Standard,
173,1031,2024-02-25,North,P400,2,128,20,0,Backpack,Accessories,Brand B,Blue,86.85,117.95,Supplier B,A,0,,,,0,1,0.0,5,Standard,
174,1085,2024-02-09,South,P100,2,26,20,0,Headphones,Electronics,Brand X,Black,15.36,26.24,Supplier A,C,0,,,,0,1,0.0,4,Standard,
175,1043,2024-01-27,West,P300,1,103,20,0,Running Shoes,Apparel,Brand R,Size 42,63.69,18.71,Supplier A,B,0,,,,0,1,0.0,6,Standard,
176,1007,2024-01-29,East,P500,1,36,5,0,Coffee Mug,Home,Brand H,Black,22.43,11.77,Supplier B,A,0,,,,0,1,0.0,4,Standard,
177,1009,2024-02-11,West,P200,1,86,0,0,Wireless Earbuds,Electronics,Brand Y,White,57.14,28.86,Supplier A,A,0,,,,0,1,0.0,2,Standard,
178,1033,2024-02-05,West,P500,3,142,15,0,Coffee Mug,Home,Brand H,Black,64.81,297.29,Supplier A,B,0,T178,Late delivery,Customer reported: late delivery,83,1,5.22,9,Express,
179,1084,2024-01-04,South,P500,3,135,10,0,Coffee Mug,Home,Brand H,Black,88.1,276.4,Supplier B,B,0,T179,Late delivery,Customer reported: late delivery,53,1,7.76,8,Standard,
180,1079,2024-01-14,North,P500,1,52,0,0,Coffee Mug,Home,Brand H,Black,26.85,25.15,Supplier A,C,0,,,,0,1,0.0,3,Standard,
181,1082,2024-02-29,West,P200,2,69,10,0,Wireless Earbuds,Electronics,Brand Y,White,37.67,86.53,Supplier B,B,0,,,,0,1,0.0,6,Standard,
182,1091,2024-02-05,North,P500,2,90,10,0,Coffee Mug,Home,Brand H,Black,41.67,120.33,Supplier Z,B,0,T182,Late delivery,Customer reported: late delivery,212,1,12.43,9,Standard,
183,1060,2024-02-16,West,P300,2,61,20,1,Running Shoes,Apparel,Brand R,Size 42,36.16,61.44,Supplier A,B,0,T183,Late delivery,Customer reported: late delivery,166,1,9.06,9,Express,Wrong size
184,1034,2024-02-20,North,P200,3,64,0,0,Wireless Earbuds,Electronics,Brand Y,White,26.06,165.94,Supplier Z,A,0,,,,0,1,0.0,5,Standard,
185,1038,2024-01-06,West,P200,1,83,15,0,Wireless Earbuds,Electronics,Brand Y,White,45.17,25.38,Supplier A,C,0,,,,0,1,0.0,2,Standard,
186,1035,2024-01-31,North,P200,2,143,10,0,Wireless Earbuds,Electronics,Brand Y,White,59.66,197.74,Supplier A,A,0,,,,0,1,0.0,4,Standard,
187,1069,2024-01-10,West,P500,2,122,0,0,Coffee Mug,Home,Brand H,Black,58.38,185.62,Supplier A,C,0,,,,0,1,0.0,2,Express,
188,1069,2024-02-19,West,P400,3,87,5,0,Backpack,Accessories,Brand B,Blue,36.44,211.51,Supplier Z,A,0,,,,0,1,0.0,1,Express,
189,1088,2024-01-24,North,P200,1,134,0,0,Wireless Earbuds,Electronics,Brand Y,White,73.48,60.52,Supplier Z,A,0,,,,0,1,0.0,1,Standard,
190,1060,2024-02-26,South,P500,1,142,20,0,Coffee Mug,Home,Brand H,Black,61.66,51.94,Supplier A,A,0,,,,0,1,0.0,1,Standard,
191,1065,2024-02-15,South,P500,3,112,5,0,Coffee Mug,Home,Brand H,Black,47.07,272.13,Supplier B,B,0,T191,Late delivery,Customer reported: late delivery,34,1,22.0,9,Express,
192,1098,2024-02-07,West,P200,3,112,15,0,Wireless Earbuds,Electronics,Brand Y,White,66.67,218.93,Supplier B,A,0,,,,0,1,0.0,4,Standard,
193,1057,2024-01-22,West,P300,3,77,5,1,Running Shoes,Apparel,Brand R,Size 42,50.95,168.5,Supplier B,B,0,T193,Late delivery,Customer reported: late delivery,299,1,14.02,9,Standard,Defective
194,1038,2024-02-11,North,P400,2,40,5,0,Backpack,Accessories,Brand B,Blue,16.78,59.22,Supplier B,C,0,,,,0,1,0.0,4,Express,
195,1035,2024-01-10,West,P400,2,37,15,0,Backpack,Accessories,Brand B,Blue,15.84,47.06,Supplier A,A,0,,,,0,1,0.0,4,Express,
196,1026,2024-02-29,South,P500,1,99,0,0,Coffee Mug,Home,Brand H,Black,51.36,47.64,Supplier Z,B,0,T196,Late delivery,Customer reported: late delivery,292,1,12.26,7,Standard,
197,1093,2024-02-29,West,P200,1,121,20,0,Wireless Earbuds,Electronics,Brand Y,White,70.11,26.69,Supplier A,A,0,,,,0,1,0.0,3,Standard,
198,1027,2024-02-22,East,P300,3,46,0,0,Running Shoes,Apparel,Brand R,Size 42,25.37,112.63,Supplier Z,A,0,,,,0,1,0.0,5,Standard,
199,1004,2024-02-03,West,P200,3,73,0,0,Wireless Earbuds,Electronics,Brand Y,White,44.24,174.76,Supplier A,A,0,,,,0,1,0.0,2,Standard,
200,1097,2024-02-16,South,P300,2,23,15,0,Running Shoes,Apparel,Brand R,Size 42,9.96,29.14,Supplier B,C,0,,,,0,1,0.0,1,Standard,
