City_ID,City_Name,Country,Region_Type,Population,Density_per_km2,Public_Transport_Score_0_100,Air_Quality_AQI,Green_Space_m2_per_capita,Crime_Rate_per_100k,Employment_Rate_pct,Median_Income_USD,Housing_Affordability_Index,Education_Access_Score_0_100,Healthcare_Access_Score_0_100,Broadband_Coverage_pct,Climate_Resilience_Score_0_100,Happiness_Index_0_10,Overall_Quality_of_Life_Score_0_100,QoL_Tier
177,Hillcrest 177,Japan,Rural-Regional,916751,732,70.7,53,30.0,398,92.8,49566,114.1,67.3,58.5,98.8,69.1,6.1,70.2,Improving
178,Northport 178,Sweden,Suburban,735589,3114,80.8,56,31.7,554,87.3,39198,108.1,64.3,68.5,75.2,81.2,5.7,62.8,Improving
179,Oakridge 179,Netherlands,Suburban,260783,1621,65.5,40,26.4,220,91.1,62042,118.6,67.3,78.7,99.0,78.4,6.5,70.8,Improving
180,Rosemont 180,Japan,Suburban,779074,2201,55.9,56,30.2,722,88.4,52024,122.8,74.3,78.6,89.1,81.3,5.0,60.3,Improving
181,Riverton 181,Japan,Suburban,415347,2723,63.6,51,13.0,605,88.8,54298,110.6,65.5,78.1,86.2,75.6,5.3,65.7,Improving
182,Northport 182,Germany,Suburban,667945,1592,57.8,31,17.2,542,89.0,39213,87.9,56.5,66.5,89.1,60.7,4.7,62.8,Improving
183,Aurora 183,Germany,Suburban,637541,1381,86.3,53,17.7,410,88.3,43752,93.6,76.7,64.6,99.0,84.3,6.8,75.0,Thriving
184,Kingsford 184,Portugal,Suburban,1056661,972,73.9,53,30.2,665,91.3,36974,109.0,60.7,64.1,92.3,86.6,4.1,61.4,Improving
185,Lakeside 185,Denmark,Rural-Regional,576141,300,77.5,47,57.7,470,93.5,41973,119.6,57.7,73.9,68.4,72.5,7.6,76.2,Thriving
186,Springdale 186,Norway,Rural-Regional,194932,710,66.4,25,29.6,845,92.9,38705,113.9,49.4,91.5,94.4,78.0,6.5,68.7,Improving
187,Northport 187,Japan,Suburban,254378,1575,57.1,70,25.6,601,91.7,42487,106.9,65.1,82.1,87.6,68.9,5.5,64.7,Improving
188,Seaview 188,Denmark,Suburban,807852,1486,77.7,68,26.3,279,96.2,33580,116.9,54.5,83.9,74.7,72.3,6.5,68.7,Improving
189,Rosemont 189,New Zealand,Suburban,468797,2043,84.1,69,34.3,665,95.0,40024,100.7,59.8,81.5,91.3,90.2,6.6,71.6,Improving
190,Aurora 190,Ireland,Suburban,1010431,1526,70.7,63,32.5,444,88.0,44258,113.3,69.5,51.9,77.5,84.1,6.4,63.8,Improving
191,Greenhaven 191,Ireland,Suburban,628060,1786,63.7,40,17.4,449,91.8,42171,134.7,65.3,66.0,87.3,94.6,6.4,60.8,Improving
192,Sunnyside 192,Ireland,Suburban,357901,2523,77.8,62,34.2,507,88.8,49880,132.8,75.2,63.7,87.6,80.8,6.1,65.8,Improving
193,Rosemont 193,Japan,Suburban,980015,1005,58.7,43,27.0,504,89.4,63758,134.7,68.1,80.5,81.5,66.2,6.7,65.1,Improving
194,Westhaven 194,Norway,Suburban,346601,1397,72.7,91,33.5,574,92.6,48511,102.3,61.0,84.9,90.5,80.9,5.7,64.8,Improving
195,Lakeside 195,Netherlands,Rural-Regional,174739,676,54.2,49,11.5,650,91.3,38891,108.8,61.7,61.4,78.8,48.1,4.9,54.6,Needs Support
196,Maplewood 196,Netherlands,Suburban,1681316,2794,53.5,70,13.4,629,96.4,49867,95.3,59.9,68.4,87.3,91.3,5.2,65.3,Improving
197,Seaview 197,New Zealand,Suburban,188921,1671,70.7,35,31.5,412,98.0,74850,130.7,71.5,73.6,82.2,81.2,5.9,72.1,Thriving
198,Rosemont 198,Portugal,Suburban,766835,2142,68.4,41,11.9,312,94.5,57614,105.1,65.2,63.1,84.7,77.3,5.8,64.3,Improving
199,Seaview 199,Netherlands,Urban,905614,3821,89.1,54,28.1,429,91.9,44630,91.9,60.9,61.7,99.0,80.1,5.9,69.1,Improving
200,Stonebridge 200,Sweden,Suburban,585889,2962,61.9,71,28.4,615,91.9,45810,104.3,73.4,61.2,86.8,69.4,6.0,64.3,Improving
